CPUID:,0x600F20
Processor:,AMD FX-8320 Eight-Core (Vishera) 
Platform:,Socket AM3+ (942 pin)
Revision:,OR-C0
Lithography:,32nm

Session start:,12:57:07 - November 13 - 2021

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),Core 6 Temp. (°),Core 7 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 6,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 7,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
13:02:27 11/13/21,19,19,19,19,19,19,19,19,,,11,31,18,3141.68,,11,31,40,3141.68,,11,31,18,3141.68,,11,31,10,3141.68,,11,31,6,3141.68,,11,31,0,3141.68,,11,31,0,3141.68,,11,31,0,3141.68,
13:02:37 11/13/21,14,14,14,14,14,14,14,14,,,11,31,12,1516.67,,11,31,11,1516.67,,11,31,3,1516.67,,11,31,1,1516.67,,11,31,0,1516.67,,11,31,0,1516.67,,11,31,0,1516.67,,11,31,1,1516.67,
13:02:47 11/13/21,15,15,15,15,15,15,15,15,,,11,31,19,1516.67,,11,31,27,1516.67,,11,31,15,1516.67,,11,31,8,1516.67,,11,31,7,3141.68,,11,31,1,3141.68,,11,31,0,3141.68,,11,31,0,3141.68,
13:02:57 11/13/21,21,21,21,21,21,21,21,21,,,11,31,22,1516.67,,11,31,36,1516.67,,11,31,19,1516.67,,11,31,28,1516.67,,11,31,5,1516.67,,11,31,25,1516.67,,11,31,0,1516.67,,11,31,0,1516.67,
13:03:07 11/13/21,20,20,20,20,20,20,20,20,,,11,31,20,3141.68,,11,31,17,3141.68,,11,31,20,3141.68,,11,31,50,3141.68,,11,31,5,3141.68,,11,31,9,3141.68,,11,31,0,3141.68,,11,31,2,3141.68,
13:03:17 11/13/21,23,23,23,23,23,23,23,23,,,11,31,37,3141.68,,11,31,45,3141.68,,11,31,49,3141.68,,11,31,43,3141.68,,11,31,28,3141.68,,11,31,26,3141.68,,11,31,0,3141.68,,11,31,12,3141.68,
13:03:27 11/13/21,22,22,22,22,22,22,22,22,,,11,31,39,1516.67,,11,31,36,1516.67,,11,31,47,1516.67,,11,31,17,1516.67,,11,31,19,1516.67,,11,31,8,1516.67,,11,31,0,1516.67,,11,31,2,1516.67,
13:03:37 11/13/21,23,23,23,23,23,23,23,23,,,11,31,44,3141.68,,11,31,29,3141.68,,11,31,21,3141.68,,11,31,8,3141.68,,11,31,0,3141.68,,11,31,0,3141.68,,11,31,0,3141.68,,11,31,0,3141.68,
13:03:47 11/13/21,18,18,18,18,18,18,18,18,,,11,31,23,3141.68,,11,31,30,3141.68,,11,31,12,3141.68,,11,31,6,3141.68,,11,31,2,3141.68,,11,31,2,3141.68,,11,31,0,3141.68,,11,31,2,3141.68,
13:03:57 11/13/21,17,17,17,17,17,17,17,17,,,11,31,24,3141.68,,11,31,15,3141.68,,11,31,10,3141.68,,11,31,13,3141.68,,11,31,4,3141.68,,11,31,0,3141.68,,11,31,0,3141.68,,11,31,1,3141.68,
